uuid,secs,id,thread,state
3cu1,1011960700,0,cuoco_pesce,end
1cu1,1011505100,0,cuoco_pasta,end
0cu1,1011909600,0,cuoco_riso,end
2cu1,1011057900,0,cuoco_carne,end
p1,3100700,1549,producer,end
c1,3218200,1549,consumer,end
2cu2,1001227000,0,cuoco_carne,end
0cu2,1001476500,0,cuoco_riso,end
3cu2,1004952000,0,cuoco_pesce,end
p2,407100,5173,producer,end
ch1,5536000,0,checker,end
c2,3058600,5173,consumer,end
0cu3,1002218100,0,cuoco_riso,end
3cu3,1002444600,0,cuoco_pesce,end
p3,967300,9396,producer,end
p4,874600,4362,producer,end
c3,3596200,9396,consumer,end
0cu4,1001848300,0,cuoco_riso,end
p5,2110400,5160,producer,end
ch2,4993100,0,checker,end
c4,1541500,5160,consumer,end
0cu5,1001041700,0,cuoco_riso,end
p6,2257600,7866,producer,end
p7,1663500,5364,producer,end
c5,5112000,5364,consumer,end
0cu6,1001726500,0,cuoco_riso,end
p8,1314800,2335,producer,end
ch3,4820500,0,checker,end
c6,965000,7866,consumer,end
0cu7,1001277000,0,cuoco_riso,end
p9,1482500,8619,producer,end
c7,3229500,8619,consumer,end
p10,1161600,4838,producer,end
0cu8,1001503400,0,cuoco_riso,end
p11,1190400,5364,producer,end
ch4,1127700,0,checker,end
c8,1916000,5364,consumer,end
0cu9,1000401000,0,cuoco_riso,end
p12,2098400,1549,producer,end
c9,4362800,2335,consumer,end
0cu10,1000291800,0,cuoco_riso,end
p13,1467900,9396,producer,end
p14,640400,4362,producer,end
ch5,10679300,0,checker,end
c10,2670700,9396,consumer,end
0cu11,1007156500,0,cuoco_riso,end
p15,1351600,5160,producer,end
c11,1274700,4838,consumer,end
0cu12,1001273400,0,cuoco_riso,end
p16,337400,4838,producer,end
p17,529400,7866,producer,end
ch6,4694900,0,checker,end
0cu13,1004519400,0,cuoco_riso,end
c12,2893500,7866,consumer,end
p18,196500,7866,producer,end
0cu14,1000978500,0,cuoco_riso,end
c13,1577400,7866,consumer,end
p19,96300,7866,producer,end
ch7,2565000,0,checker,end
0cu15,1001070200,0,cuoco_riso,end
c14,2205600,7866,consumer,end
p20,132900,7866,producer,end
p21,1555700,5364,producer,end
0cu16,1000692000,0,cuoco_riso,end
c15,1218600,5364,consumer,end
p22,192800,5364,producer,end
ch8,3070800,0,checker,end
0cu17,1001025100,0,cuoco_riso,end
c16,1553300,5364,consumer,end
p23,177100,5364,producer,end
p24,1943700,2335,producer,end
c17,2788900,5364,consumer,end
