uuid,secs,id,thread,state
cl1,0,0,cliente,begin
3cu1,20693300,0,cuoco_pesce,begin
1cu1,20745900,0,cuoco_pasta,begin
0cu1,20913100,0,cuoco_riso,begin
2cu1,21471300,0,cuoco_carne,begin
p1,706855000,0,producer,begin
p1,709955700,1549,producer,end
c1,1002783600,0,consumer,begin
c1,1006001800,1549,consumer,end
1cu1,1032251000,0,cuoco_pasta,end
2cu1,1032529200,0,cuoco_carne,end
3cu1,1032654000,0,cuoco_pesce,end
1cu2,1032789500,0,cuoco_pasta,begin
0cu1,1032822700,0,cuoco_riso,end
2cu2,1033001000,0,cuoco_carne,begin
0cu2,1033903900,0,cuoco_riso,begin
3cu2,1033821900,0,cuoco_pesce,begin
p2,1422693400,0,producer,begin
p2,1423100500,5173,producer,end
ch1,2004477700,0,checker,begin
c2,2006838000,0,consumer,begin
ch1,2010013700,0,checker,end
c2,2009896600,5173,consumer,end
2cu2,2034228000,0,cuoco_carne,end
2cu3,2034646200,0,cuoco_carne,begin
0cu2,2035380400,0,cuoco_riso,end
0cu3,2037162000,0,cuoco_riso,begin
3cu2,2038773900,0,cuoco_pesce,end
3cu3,2039142700,0,cuoco_pesce,begin
p3,2124130000,0,producer,begin
p3,2125097300,9396,producer,end
p4,2826364600,0,producer,begin
p4,2827239200,4362,producer,end
c3,3011553800,0,consumer,begin
c3,3015150000,9396,consumer,end
0cu3,3039380100,0,cuoco_riso,end
0cu4,3040089000,0,cuoco_riso,begin
3cu3,3041587300,0,cuoco_pesce,end
3cu4,3043007000,0,cuoco_pesce,begin
p5,3529840300,0,producer,begin
p5,3531950700,5160,producer,end
ch2,4010766000,0,checker,begin
ch2,4015759100,0,checker,end
c4,4016057500,0,consumer,begin
c4,4017599000,5160,consumer,end
0cu4,4041937300,0,cuoco_riso,end
0cu5,4042266400,0,cuoco_riso,begin
p6,4233935000,0,producer,begin
p6,4236192600,7866,producer,end
p7,4937570900,0,producer,begin
p7,4939234400,5364,producer,end
c5,5018602900,0,consumer,begin
c5,5023714900,5364,consumer,end
0cu5,5043308100,0,cuoco_riso,end
0cu6,5043525100,0,cuoco_riso,begin
p8,5640916600,0,producer,begin
p8,5642231400,2335,producer,end
ch3,6016096400,0,checker,begin
ch3,6020916900,0,checker,end
c6,6027057100,0,consumer,begin
c6,6028022100,7866,consumer,end
0cu6,6045251600,0,cuoco_riso,end
0cu7,6045646400,0,cuoco_riso,begin
p9,6343996800,0,producer,begin
p9,6345479300,8619,producer,end
c7,7028919700,0,consumer,begin
c7,7032149200,8619,consumer,end
p10,7047046900,0,producer,begin
0cu7,7046923400,0,cuoco_riso,end
0cu8,7047539100,0,cuoco_riso,begin
p10,7048208500,4838,producer,end
p11,7749349800,0,producer,begin
p11,7750540200,5364,producer,end
ch4,8021653900,0,checker,begin
ch4,8022781600,0,checker,end
c8,8033405300,0,consumer,begin
c8,8035321300,5364,consumer,end
0cu8,8049042500,0,cuoco_riso,end
0cu9,8049588300,0,cuoco_riso,begin
p12,8452460000,0,producer,begin
p12,8454558400,1549,producer,end
c9,9036358200,0,consumer,begin
c9,9040721000,2335,consumer,end
0cu9,9049989300,0,cuoco_riso,end
0cu10,9050222400,0,cuoco_riso,begin
p13,9157274100,0,producer,begin
p13,9158742000,9396,producer,end
p14,9873394400,0,producer,begin
p14,9874034800,4362,producer,end
ch5,10022936000,0,checker,begin
ch5,10033615300,0,checker,end
c10,10043083100,0,consumer,begin
c10,10045753800,9396,consumer,end
0cu10,10050514200,0,cuoco_riso,end
0cu11,10050642400,0,cuoco_riso,begin
p15,10575830600,0,producer,begin
p15,10577182200,5160,producer,end
0cu11,11057798900,0,cuoco_riso,end
c11,11058293200,0,consumer,begin
0cu12,11058319100,0,cuoco_riso,begin
c11,11059567900,4838,consumer,end
p16,11278990000,0,producer,begin
p16,11279327400,4838,producer,end
p17,11980271000,0,producer,begin
p17,11980800400,7866,producer,end
ch6,12035358700,0,checker,begin
ch6,12040053600,0,checker,end
0cu12,12059592500,0,cuoco_riso,end
0cu13,12059833000,0,cuoco_riso,begin
c12,12061180200,0,consumer,begin
c12,12064073700,7866,consumer,end
p18,12682646200,0,producer,begin
p18,12682842700,7866,producer,end
0cu13,13064352400,0,cuoco_riso,end
0cu14,13064449200,0,cuoco_riso,begin
c13,13064810300,0,consumer,begin
c13,13066387700,7866,consumer,end
p19,13383721900,0,producer,begin
p19,13383818200,7866,producer,end
ch7,14041185500,0,checker,begin
ch7,14043750500,0,checker,end
0cu14,14065427700,0,cuoco_riso,end
0cu15,14065824100,0,cuoco_riso,begin
c14,14067599800,0,consumer,begin
c14,14069805400,7866,consumer,end
p20,14084685900,0,producer,begin
p20,14084818800,7866,producer,end
p21,14788070100,0,producer,begin
p21,14789625800,5364,producer,end
0cu15,15066894300,0,cuoco_riso,end
0cu16,15067305000,0,cuoco_riso,begin
c15,15072071900,0,consumer,begin
c15,15073290500,5364,consumer,end
p22,15490973100,0,producer,begin
p22,15491165900,5364,producer,end
ch8,16043998500,0,checker,begin
ch8,16047069300,0,checker,end
0cu16,16067997000,0,cuoco_riso,end
0cu17,16068289600,0,cuoco_riso,begin
c16,16075141600,0,consumer,begin
c16,16076694900,5364,consumer,end
p23,16192688300,0,producer,begin
p23,16192865400,5364,producer,end
p24,16894407600,0,producer,begin
p24,16896351300,2335,producer,end
0cu17,17069314700,0,cuoco_riso,end
0cu18,17069543500,0,cuoco_riso,begin
c17,17077896100,0,consumer,begin
c17,17080685000,5364,consumer,end
