uuid,secs,id,type,thread,state
cl1,335838939690400,0,0,cliente,begin
cl1,335838960990200,7525,CARNE,cliente,end
p1,335839652844100,0,0,producer,begin
p1,335839656279800,8935,PASTA,producer,end
c1,335839953398300,0,0,consumer,begin
c1,335839958454100,8935,PASTA,consumer,end
1cu1,335839987449700,0,0,cuoco_pasta,begin
p2,335840370574300,0,0,producer,begin
p2,335840371482400,7525,CARNE,producer,end
ch1,335840953858400,0,0,checker,begin
ch1,335840955833200,0,0,checker,end
c2,335840961180600,0,0,consumer,begin
c2,335840962971500,7525,CARNE,consumer,end
2cu1,335840986786300,0,0,cuoco_carne,begin
p3,335841073297900,0,0,producer,begin
p3,335841075511800,2137,PESCE,producer,end
p4,335841778087900,0,0,producer,begin
p4,335841778510300,1494,RISO,producer,end
c3,335841964347300,0,0,consumer,begin
c3,335841965625900,2137,PESCE,consumer,end
3cu1,335841987382800,0,0,cuoco_pesce,begin
p5,335842479989100,0,0,producer,begin
p5,335842481468800,3543,PASTA,producer,end
ch2,335842956159700,0,0,checker,begin
ch2,335842962760800,0,0,checker,end
c4,335842966631400,0,0,consumer,begin
c4,335842968556500,3543,PASTA,consumer,end
p6,335843183384100,0,0,producer,begin
p6,335843184582700,6658,RISO,producer,end
p7,335843886377200,0,0,producer,begin
p7,335843888397700,7291,PESCE,producer,end
c5,335843969847700,0,0,consumer,begin
c5,335843974718600,7291,PESCE,consumer,end
p8,335844589907800,0,0,producer,begin
p8,335844590892900,6977,RISO,producer,end
ch3,335844963089600,0,0,checker,begin
ch3,335844965572500,0,0,checker,end
c6,335844975350200,0,0,consumer,begin
c6,335844975843100,1494,RISO,consumer,end
0cu1,335844988779900,0,0,cuoco_riso,begin
p9,335845291678500,0,0,producer,begin
p9,335845291874900,9281,PESCE,producer,end
c7,335845976605300,0,0,consumer,begin
c7,335845979314700,6977,RISO,consumer,end
p10,335845992422100,0,0,producer,begin
p10,335845993222000,3278,PASTA,producer,end
p11,335846695908700,0,0,producer,begin
p11,335846697290100,1233,RISO,producer,end
ch4,335846965658100,0,0,checker,begin
ch4,335846966465600,0,0,checker,end
c8,335846980568000,0,0,consumer,begin
c8,335846981175400,9281,PESCE,consumer,end
p12,335847398009100,0,0,producer,begin
p12,335847398570500,8935,PASTA,producer,end
c9,335847983234900,0,0,consumer,begin
c9,335847985990900,8935,PASTA,consumer,end
p13,335848099065100,0,0,producer,begin
p13,335848100928300,2137,PESCE,producer,end
p14,335848801496700,0,0,producer,begin
p14,335848801960500,1494,RISO,producer,end
ch5,335848967418600,0,0,checker,begin
ch5,335848970181900,0,0,checker,end
c10,335848986966400,0,0,consumer,begin
c10,335848988097500,2137,PESCE,consumer,end
p15,335849504491700,0,0,producer,begin
p15,335849506797300,3543,PASTA,producer,end
c11,335849989956500,0,0,consumer,begin
c11,335849991844100,3543,PASTA,consumer,end
p16,335850208047500,0,0,producer,begin
p16,335850208554300,3543,PASTA,producer,end
p17,335850911381700,0,0,producer,begin
p17,335850913306300,6658,RISO,producer,end
ch6,335850971046300,0,0,checker,begin
ch6,335850975257100,0,0,checker,end
c12,335850992550500,0,0,consumer,begin
c12,335850995591300,3543,PASTA,consumer,end
p18,335851614993800,0,0,producer,begin
p18,335851615161900,3543,PASTA,producer,end
c13,335851996730800,0,0,consumer,begin
c13,335851999272700,3543,PASTA,consumer,end
p19,335852315834800,0,0,producer,begin
p19,335852315880700,3543,PASTA,producer,end
ch7,335852975806500,0,0,checker,begin
ch7,335852979657200,0,0,checker,end
c14,335852999619200,0,0,consumer,begin
c14,335853001515200,3543,PASTA,consumer,end
p20,335853016349000,0,0,producer,begin
p20,335853016484800,3543,PASTA,producer,end
p21,335853718325700,0,0,producer,begin
p21,335853719839100,7291,PESCE,producer,end
c15,335854005191700,0,0,consumer,begin
c15,335854006979900,3543,PASTA,consumer,end
p22,335854421087400,0,0,producer,begin
p22,335854421235800,3543,PASTA,producer,end
ch8,335854980226100,0,0,checker,begin
ch8,335854983156400,0,0,checker,end
c16,335855008837900,0,0,consumer,begin
c16,335855011541800,3543,PASTA,consumer,end
p23,335855122400000,0,0,producer,begin
p23,335855122524300,3543,PASTA,producer,end
p24,335855824654700,0,0,producer,begin
p24,335855825374900,6977,RISO,producer,end
c17,335856011805100,0,0,consumer,begin
c17,335856013237000,3543,PASTA,consumer,end
p25,335856527077400,0,0,producer,begin
p25,335856527332000,3543,PASTA,producer,end
ch9,335856983684400,0,0,checker,begin
ch9,335856985784900,0,0,checker,end
c18,335857013907400,0,0,consumer,begin
c18,335857014949900,3543,PASTA,consumer,end
p26,335857228444200,0,0,producer,begin
p26,335857228489700,3543,PASTA,producer,end
p27,335857930163700,0,0,producer,begin
p27,335857930965700,9281,PESCE,producer,end
c19,335858017105400,0,0,consumer,begin
c19,335858017577200,3543,PASTA,consumer,end
p28,335858631327500,0,0,producer,begin
p28,335858631371400,3543,PASTA,producer,end
ch10,335858986211700,0,0,checker,begin
ch10,335858989293900,0,0,checker,end
c20,335859018406700,0,0,consumer,begin
c20,335859020498800,3543,PASTA,consumer,end
p29,335859333391300,0,0,producer,begin
p29,335859333565400,3543,PASTA,producer,end
1cu1,335860009122700,8935,PASTA,cuoco_pasta,end
1cu2,335860009227400,0,0,cuoco_pasta,begin
c21,335860022483700,0,0,consumer,begin
c21,335860023090800,3543,PASTA,consumer,end
p30,335860034399700,0,0,producer,begin
p30,335860034581100,3278,PASTA,producer,end
p31,335860735153600,0,0,producer,begin
ch11,335860989855400,0,0,checker,begin
ch11,335860991085800,0,0,checker,end
c22,335861023977600,0,0,consumer,begin
p31,335861024207000,1233,RISO,producer,end
c22,335861024495400,7291,PESCE,consumer,end
p32,335861725190900,0,0,producer,begin
2cu1,335861989855700,7525,CARNE,cuoco_carne,end
c23,335862026327400,0,0,consumer,begin
p32,335862026558100,7291,PESCE,producer,end
c23,335862028290800,1494,RISO,consumer,end
ch12,335862991636800,0,0,checker,begin
ch12,335862993080900,0,0,checker,end
c24,335863029573800,0,0,consumer,begin
c24,335863030886400,7291,PESCE,consumer,end
p33,335863429471200,0,0,producer,begin
p33,335863429706300,7291,PESCE,producer,end
c25,335864032328100,0,0,consumer,begin
c25,335864033612700,7291,PESCE,consumer,end
p34,335864130710000,0,0,producer,begin
p34,335864130836200,7291,PESCE,producer,end
ch13,335864995067400,0,0,checker,begin
ch13,335864997701600,0,0,checker,end
c26,335865034125800,0,0,consumer,begin
c26,335865034556000,7291,PESCE,consumer,end
p35,335865532327900,0,0,producer,begin
p35,335865532410000,7291,PESCE,producer,end
c27,335866035479500,0,0,consumer,begin
c27,335866036895900,7291,PESCE,consumer,end
p36,335866234394400,0,0,producer,begin
p36,335866234478700,7291,PESCE,producer,end
ch14,335866999650800,0,0,checker,begin
ch14,335867001861100,0,0,checker,end
c28,335867039092000,0,0,consumer,begin
c28,335867040615300,7291,PESCE,consumer,end
p37,335867637105600,0,0,producer,begin
p37,335867637369600,7291,PESCE,producer,end
c29,335868041333800,0,0,consumer,begin
c29,335868042839400,7291,PESCE,consumer,end
p38,335868338917800,0,0,producer,begin
p38,335868339051600,7291,PESCE,producer,end
ch15,335869002670100,0,0,checker,begin
ch15,335869004719700,0,0,checker,end
c30,335869044469200,0,0,consumer,begin
c30,335869048353600,7291,PESCE,consumer,end
p39,335869742722300,0,0,producer,begin
p39,335869743016000,7291,PESCE,producer,end
c31,335870050029700,0,0,consumer,begin
c31,335870051428000,7291,PESCE,consumer,end
p40,335870445023900,0,0,producer,begin
p40,335870445076200,7291,PESCE,producer,end
ch16,335871005647300,0,0,checker,begin
ch16,335871008200700,0,0,checker,end
c32,335871052169900,0,0,consumer,begin
c32,335871054116600,7291,PESCE,consumer,end
p41,335871146061300,0,0,producer,begin
p41,335871146260600,7291,PESCE,producer,end
c33,335872054641700,0,0,consumer,begin
c33,335872055282400,7291,PESCE,consumer,end
p42,335872547416100,0,0,producer,begin
p42,335872547495000,7291,PESCE,producer,end
ch17,335873008478200,0,0,checker,begin
ch17,335873009566400,0,0,checker,end
c34,335873056232300,0,0,consumer,begin
c34,335873057113000,7291,PESCE,consumer,end
p43,335873248168200,0,0,producer,begin
p43,335873248227500,7291,PESCE,producer,end
c35,335874058536600,0,0,consumer,begin
c35,335874059370800,7291,PESCE,consumer,end
p44,335874650324800,0,0,producer,begin
p44,335874650472700,7291,PESCE,producer,end
ch18,335875010695600,0,0,checker,begin
ch18,335875012482100,0,0,checker,end
c36,335875060233900,0,0,consumer,begin
c36,335875061166800,7291,PESCE,consumer,end
