uuid,secs,id,type,thread,state
0cl3,370127028228200,0,0,clienteC,begin
0cl1,370127027682300,0,0,clienteA,begin
0cl2,370127027706800,0,0,clienteB,begin
0cl4,370127028238600,0,0,clienteD,begin
0cl4,370127044495500,7669,CARNE,clienteC,end
0cl4,370127042559200,3717,RISO,clienteD,end
0cl4,370127043460500,9026,CARNE,clienteB,end
0cl4,370127043944600,4970,CARNE,clienteA,end
p1,370127502340600,0,0,producer,begin
p1,370127568784300,2154,CARNE,producer,end
p2,370128070143400,0,0,producer,begin
p2,370128072021600,3717,RISO,producer,end
p3,370128572829500,0,0,producer,begin
p3,370128576180200,9026,CARNE,producer,end
c1,370129001880700,0,0,consumer,begin
c1,370129006541500,2154,CARNE,consumer,end
2cu1,370129034580100,0,0,cuoco_carne,begin
p4,370129077508100,0,0,producer,begin
p4,370129079426700,4970,CARNE,producer,end
p5,370129582806000,0,0,producer,begin
p5,370129583822900,7669,CARNE,producer,end
ch1,370129999390800,0,0,checker,begin
ch1,370130004075300,0,0,checker,end
p6,370130085977200,0,0,producer,begin
p6,370130089764600,5458,RISO,producer,end
p7,370130590644200,0,0,producer,begin
p7,370130592567300,1000,PASTA,producer,end
c2,370131011575500,0,0,consumer,begin
c2,370131013738800,1000,PASTA,consumer,end
1cu1,370131023652000,0,0,cuoco_pasta,begin
ch2,370133005257500,0,0,checker,begin
ch2,370133007648000,0,0,checker,end
c3,370133014365400,0,0,consumer,begin
c3,370133014780800,5458,RISO,consumer,end
0cu1,370133023665300,0,0,cuoco_riso,begin
c4,370135015665800,0,0,consumer,begin
c4,370135027845000,4970,CARNE,consumer,end
ch3,370136008464900,0,0,checker,begin
ch3,370136011947800,0,0,checker,end
c5,370137028838000,0,0,consumer,begin
c5,370137032995800,7669,CARNE,consumer,end
ch4,370139016602800,0,0,checker,begin
ch4,370139018325200,0,0,checker,end
c6,370139048205600,0,0,consumer,begin
c6,370139049912800,3717,RISO,consumer,end
0cl5,370140505252000,0,0,clienteB,begin
0cl5,370140506222100,8112,PASTA,clienteB,end
p8,370140648709700,0,0,producer,begin
p8,370140650474700,8112,PASTA,producer,end
c7,370141058845500,0,0,consumer,begin
c7,370141060399700,8112,PASTA,consumer,end
ch5,370142025349500,0,0,checker,begin
ch5,370142026520800,0,0,checker,end
c8,370143069266100,0,0,consumer,begin
c8,370143071340100,9026,CARNE,consumer,end
ch6,370145031140700,0,0,checker,begin
ch6,370145031600400,0,0,checker,end
c9,370145078952900,0,0,consumer,begin
ch7,370148045522700,0,0,checker,begin
ch7,370148045890100,0,0,checker,end
ch8,370151050414000,0,0,checker,begin
ch8,370151050932100,0,0,checker,end
0cl6,370152013557900,0,0,clienteD,begin
0cl6,370152014508300,2727,PESCE,clienteD,end
p9,370152298189800,0,0,producer,begin
c9,370152300620500,2727,PESCE,consumer,end
p9,370152303831300,2727,PESCE,producer,end
3cu1,370153229491500,0,0,cuoco_pesce,begin
ch9,370154051535000,0,0,checker,begin
ch9,370154051775600,0,0,checker,end
c10,370154303293800,0,0,consumer,begin
ch10,370157060403300,0,0,checker,begin
ch10,370157061067400,0,0,checker,end
2cu1,370159106023500,2154,CARNE,cuoco_carne,end
2cu2,370159106869000,0,0,cuoco_carne,begin
ch11,370160067965200,0,0,checker,begin
ch11,370160068982900,0,0,checker,end
1cu1,370161037524100,1000,PASTA,cuoco_pasta,end
1cu2,370161037755200,0,0,cuoco_pasta,begin
0cu1,370163038080600,5458,RISO,cuoco_riso,end
0cu2,370163038317500,0,0,cuoco_riso,begin
ch12,370163075447400,0,0,checker,begin
ch12,370163075704400,0,0,checker,end
