Numero,ID,tempo_attesa,ingr_principale,t_prep,urgenza,numero_ordine_eff,t_coda,priorita_iniz,priorita_fin
1,2154,31.994,CARNE,30,true,1,1,88,66
2,1000,33.985,PASTA,30,true,1,3,88,66
3,5458,35.998,RISO,30,true,1,5,88,67
4,4955,43.045,CARNE,11,true,2,7,69,52
5,9577,63.049,CARNE,20,true,4,9,62,43
6,4219,29.264,PESCE,26,false,2,2,55,41
7,4215,75.003,PASTA,41,false,2,11,61,42
8,7687,79.016,RISO,43,false,5,13,47,32
9,4578,37.335,PESCE,28,false,5,8,34,31
10,7943,88.033,RISO,21,false,4,3,36,22
11,8996,51.467,CARNE,48,false,5,2,49,37
12,8706,96.47,PASTA,54,true,4,2,69,52
13,8846,121.341,RISO,37,true,1,2,71,53
14,6269,49.824,PESCE,41,true,1,7,86,65
15,5246,18.86,CARNE,13,false,1,5,55,41
16,9968,142.974,RISO,29,false,2,0,29,22
17,4725,55.102,PESCE,37,true,3,1,74,56
18,2939,119.799,PASTA,54,false,1,1,58,43
19,8731,157.507,RISO,18,false,3,12,13,17
20,5252,41.795,CARNE,37,false,5,4,44,33
21,4090,133.432,PASTA,22,false,2,7,33,31
22,8356,79.177,PESCE,51,true,5,6,70,53
23,5149,122.483,PASTA,26,true,1,22,66,53
24,8452,61.521,CARNE,27,true,1,7,80,61
25,2918,177.092,RISO,48,false,1,26,35,35
26,3027,138.346,PASTA,27,true,2,18,62,49
27,7072,45.006,CARNE,37,false,1,7,57,49
28,5970,200.65,RISO,45,false,1,24,34,29
29,7177,114.278,PESCE,59,false,3,13,50,44
30,5964,73.795,PASTA,29,true,4,0,59,44
31,9147,53.319,CARNE,35,false,2,18,52,46
32,1661,158.248,PESCE,40,false,2,18,47,38
33,5484,68.19,RISO,55,true,5,10,71,55
34,3593,109.703,PASTA,49,true,2,0,71,53
35,4398,148.099,PASTA,26,true,1,17,66,52
36,1305,82.315,CARNE,49,true,5,8,69,52
37,1225,176.444,PESCE,40,false,2,16,40,32
38,9447,59.698,RISO,38,false,5,21,38,36
39,3594,114.177,CARNE,23,false,5,19,32,21
40,1671,164.098,PESCE,25,true,1,6,66,50
41,2369,29.818,RISO,27,true,1,1,80,60
42,1585,163.627,PASTA,59,true,5,2,53,40
43,5272,138.8,PESCE,53,true,1,8,77,59
44,6590,94.937,RISO,56,false,4,12,50,39
45,5725,51.367,CARNE,49,true,2,1,91,68
46,6080,101.997,PASTA,46,true,5,1,68,51
47,1228,158.457,PESCE,24,true,5,18,46,37
48,1955,179.096,PESCE,15,false,5,34,15,11
49,4453,127.945,PASTA,16,false,3,31,32,28
50,6941,79.942,CARNE,33,false,1,12,56,43
51,1653,62.88,RISO,40,false,2,13,54,42
52,3299,119.095,PASTA,40,true,5,0,52,39
53,3914,72.404,CARNE,40,true,2,0,80,60
54,7516,190.175,PESCE,56,true,4,20,50,40
55,7543,124.797,PASTA,18,false,4,67,15,35
56,8747,83.406,CARNE,21,true,1,0,71,53
57,9297,119.847,PASTA,33,false,3,31,33,33
58,1450,110.645,CARNE,24,true,3,6,62,42
59,1990,160.377,PESCE,52,false,1,24,43,41
60,4753,97.819,PASTA,30,true,4,23,53,47
61,3516,208.356,PESCE,27,false,5,79,13,31
62,9366,42.075,PASTA,14,true,2,1,70,53
63,3813,59.08,RISO,43,true,5,15,73,56
64,6156,125.422,CARNE,55,true,4,20,63,49
65,7775,143.072,PESCE,18,false,2,2,32,24
66,1403,30.876,RISO,18,false,2,12,45,40
